VBat1,VBat2,VBat3,TEx1,TEx2,TIn1,TIn2,TIn3,5VLine,12VLine,
  56,  56,  69,4095,4095,1457,1439,1298,2117,1438,1017,
  56,  56,  69,4095,4095,1458,1437,1297,2116,1439,1017,
  57,  56,  70,4095,4095,1459,1438,1298,2118,1427,1017,
  57,  56,  69,4095,4095,1459,1438,1299,2117,1390,1016,
  55,  57,  69,4095,4095,1459,1438,1299,2114,1432,1018,
  55,  55,  68,4095,4095,1458,1437,1298,2114,1440,1016,
  55,  56,  70,4095,4095,1460,1438,1301,2117,1439,1017,
  56,  55,  68,4095,4095,1459,1437,1296,2116,1434,1016,
  56,  57,  69,4095,4095,1458,1438,1297,2118,1418,1017,
  57,  55,  69,4095,4095,1458,1438,1296,2116,1440,1017,
  56,  56,  69,4095,4095,1459,1439,1299,2117,1430,1017,
  57,  56,  69,4095,4095,1458,1440,1298,2118,1405,1017,
  56,  57,  70,4095,4095,1458,1439,1300,2120,1428,1015,
  58,  57,  69,4095,4095,1459,1438,1300,2117,1439,1017,
  56,  55,  69,4095,4095,1459,1438,1300,2120,1439,1016,
  57,  55,  69,4095,4095,1460,1439,1297,2117,1429,1017,
  57,  55,  69,4095,4095,1458,1438,1298,2118,1437,1015,
  55,  56,  69,4095,4095,1458,1438,1298,2120,1435,1018,
  56,  55,  69,4095,4095,1459,1438,1299,2120,1404,1016,
  57,  57,  69,4095,4095,1460,1438,1299,2118,1434,1018,
  57,  57,  68,4095,4095,1458,1439,1300,2117,1429,1017,
  56,  57,  68,4095,4095,1460,1438,1300,2117,1441,1015,
  56,  57,  69,4095,4095,1459,1438,1298,2115,1438,1017,
  56,  56,  69,4095,4095,1457,1439,1300,2118,1440,1015,
  57,  57,  70,4095,4095,1458,1439,1300,2118,1440,1017,
  56,  57,  69,4095,4095,1459,1438,1297,2118,1431,1016,
  56,  56,  69,4095,4095,1460,1438,1301,2117,1427,1015,
  56,  56,  69,4095,4095,1459,1437,1297,2118,1436,1017,
