VBat1,VBat2,VBat3,TEx1,TEx2,TIn1,TIn2,TIn3,5VLine,12VLine,
1812,2531,2717,4095,4095,1469,1451,1297,2115,1434,1026,
1830,2538,2723,4095,4095,1467,1451,1296,2117,1437,1025,
1833,2539,2724,4095,4095,1471,1450,1298,2117,1431,1025,
1730,2513,2705,4095,4095,1470,1448,1296,2118,1412,1025,
1818,2532,2720,4095,4095,1468,1450,1300,2118,1425,1026,
1836,2539,2725,4095,4095,1469,1451,1298,2117,1440,1024,
1830,2538,2724,4095,4095,1468,1451,1297,2120,1437,1026,
1821,2530,2719,4095,4095,1470,1451,1300,2117,1435,1025,
1822,2534,2721,4095,4095,1467,1450,1297,2118,1437,1025,
1833,2538,2723,4095,4095,1469,1450,1298,2117,1434,1025,
1709,2478,2685,4095,4095,1471,1450,1301,2116,1423,1024,
1818,2534,2718,4095,4095,1470,1450,1295,2116,1436,1027,
1825,2537,2723,4095,4095,1470,1450,1297,2119,1437,1027,
1824,2536,2721,4095,4095,1469,1450,1298,2115,1436,1024,
1813,2530,2719,4095,4095,1469,1451,1297,2118,1437,1025,
1832,2539,2725,4095,4095,1470,1450,1298,2117,1438,1026,
1772,2506,2701,4095,4095,1467,1451,1297,2116,1433,1025,
1728,2487,2692,4095,4095,1469,1451,1297,2116,1428,1025,
1818,2533,2718,4095,4095,1467,1450,1299,2115,1435,1027,
1834,2542,2723,4095,4095,1468,1451,1302,2117,1437,1024,
1830,2538,2725,4095,4095,1469,1449,1295,2116,1439,1023,
1829,2538,2723,4095,4095,1469,1450,1298,2117,1403,1024,
1829,2538,2722,4095,4095,1469,1450,1298,2115,1438,1026,
1732,2531,2721,4095,4095,1468,1450,1296,2116,1436,1024,
1712,2479,2689,4095,4095,1469,1450,1298,2120,1419,1025,
1803,2525,2716,4095,4095,1469,1452,1297,2116,1435,1027,
  56, 199,2750,4095,4095,1468,1449,1298,2117,1431,1026,
  55, 195,2749,4095,4095,1469,1449,1297,2120,1438,1025,
  56, 194,2723,4095,4095,1468,1449,1294,2117,1410,1026,
  56, 195,2748,4095,4095,1468,1450,1296,2120,1438,1025,
  55, 194,2750,4095,4095,1469,1448,1296,2117,1440,1024,
  56, 195,2717,4095,4095,1467,1451,1298,2115,1431,1025,
  55, 194,2742,4095,4095,1468,1449,1299,2117,1437,1025,
  56, 194,2749,4095,4095,1469,1449,1297,2117,1439,1025,
  55, 193,2751,4095,4095,1468,1449,1297,2119,1437,1025,
  55, 196,2733,4095,4095,1469,1449,1297,2117,1419,1026,
  56, 196,2747,4095,4095,1467,1447,1300,2115,1426,1026,
  55, 194,2749,4095,4095,1469,1450,1297,2119,1439,1027,
  55, 195,2752,4095,4095,1468,1449,1297,2116,1438,1026,
  56, 195,2739,4095,4095,1470,1451,1300,2118,1437,1027,
  57, 194,2747,4095,4095,1468,1450,1294,2119,1439,1025,
  57, 194,2751,4095,4095,1469,1451,1297,2115,1433,1026,
  55, 194,2749,4095,4095,1467,1450,1298,2115,1431,1025,
  56, 196,2727,4095,4095,1468,1451,1297,2117,1432,1024,
  57, 195,2749,4095,4095,1469,1450,1296,2117,1439,1026,
  56, 195,2751,4095,4095,1469,1450,1297,2115,1439,1026,
  55, 195,2733,4095,4095,1468,1450,1294,2118,1433,1026,
  56, 196,2746,4095,4095,1469,1449,1297,2120,1437,1025,
  55, 194,2749,4095,4095,1469,1451,1296,2119,1439,1026,
  55, 195,2749,4095,4095,1468,1451,1297,2118,1438,1024,
  55, 195,2725,4095,4095,1467,1449,1297,2117,1432,1026,
  57, 195,2751,4095,4095,1469,1449,1300,2121,1432,1025,
  55, 195,2751,4095,4095,1467,1449,1300,2117,1438,1026,
  55, 194,2752,4095,4095,1469,1450,1296,2116,1438,1026,
  56, 193,2739,4095,4095,1466,1450,1295,2117,1437,1025,
  58, 194,2746,4095,4095,1468,1451,1297,2118,1437,1025,
  55, 194,2746,4095,4095,1467,1449,1298,2118,1431,1026,
  56, 194,2715,4095,4095,1466,1449,1296,2118,1429,1025,
  56, 198,2735,4095,4095,1467,1449,1298,2120,1431,1026,
  62, 195,2739,4095,4095,1468,1450,1298,2118,1435,1025,
  59, 204,2747,4095,4095,1469,1450,1299,2118,1437,1025,
  53, 201,2744,4095,4095,1467,1449,1294,2117,1406,1025,
  55, 183,2745,4095,4095,1468,1449,1298,2120,1437,1024,
  52, 194,2741,4095,4095,1469,1448,1299,2118,1434,1024,
  56, 201,2711,4095,4095,1468,1450,1296,2116,1423,1025,
  57, 192,2724,4095,4095,1466,1450,1298,2117,1434,1026,
  61, 215,2754,4095,4095,1468,1450,1298,2116,1430,1025,
  54, 185,2745,4095,4095,1468,1449,1297,2119,1437,1026,
  58, 194,2739,4095,4095,1469,1450,1298,2118,1413,1025,
  53, 200,2742,4095,4095,1469,1449,1296,2120,1431,1025,
  56,  56,2736,4095,4095,1468,1449,1297,2118,1433,1024,
  56,  55,2719,4095,4095,1466,1451,1296,2118,1430,1025,
  56,  57,2710,4095,4095,1468,1449,1296,2117,1423,1024,
  57,  55,2735,4095,4095,1466,1447,1297,2118,1434,1024,
  57,  57,2743,4095,4095,1469,1449,1298,2117,1431,1025,
  54,  54,2745,4095,4095,1467,1449,1295,2118,1433,1024,
  55,  56,2738,4095,4095,1468,1449,1297,2120,1427,1026,
  55,  57,2718,4095,4095,1466,1451,1297,2120,1425,1024,
  57,  55,2741,4095,4095,1467,1450,1299,2115,1434,1025,
  57,  56,2740,4095,4095,1467,1449,1297,2120,1440,1025,
  58,  56,2708,4095,4095,1468,1449,1295,2121,1424,1025,
  58,  57,2742,4095,4095,1469,1447,1298,2114,1425,1025,
  55,  57,2744,4095,4095,1467,1449,1299,2118,1435,1026,
  55,  55,2744,4095,4095,1467,1451,1296,2119,1435,1025,
  60,  55,2734,4095,4095,1469,1450,1297,2120,1434,1025,
  54,  54,2738,4095,4095,1468,1448,1297,2117,1435,1023,
  61,  55,2746,4095,4095,1467,1449,1299,2116,1431,1027,
  63,  55,2725,4095,4095,1467,1448,1297,2117,1419,1024,
  50,  55,2715,4095,4095,1466,1450,1295,2116,1428,1025,
  63,  55,2743,4095,4095,1466,1449,1297,2118,1434,1025,
  54,  56,2744,4095,4095,1466,1449,1297,2118,1435,1026,
  48,  56,2711,4095,4095,1470,1450,1298,2120,1426,1025,
  58,  57,2735,4095,4095,1466,1450,1295,2117,1437,1024,
  60,  55,2743,4095,4095,1467,1449,1297,2116,1437,1025,
